2026-05-14 09:48:25.848 EDT [41968] LOG:  starting PostgreSQL 18.3 on x86_64-windows, compiled by msvc-19.44.35222, 64-bit
2026-05-14 09:48:25.854 EDT [41968] LOG:  listening on IPv6 address "::1", port 5432
2026-05-14 09:48:25.854 EDT [41968] LOG:  listening on IPv4 address "127.0.0.1", port 5432
2026-05-14 09:48:25.938 EDT [34680] LOG:  database system was shut down at 2026-05-14 09:48:10 EDT
2026-05-14 09:48:25.947 EDT [41968] LOG:  database system is ready to accept connections
2026-05-14 09:48:48.267 EDT [14112] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-14 09:49:59.121 EDT [46760] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-14 09:53:25.936 EDT [47068] LOG:  checkpoint starting: time
2026-05-14 09:55:25.581 EDT [47068] LOG:  checkpoint complete: wrote 1100 buffers (6.7%), wrote 3 SLRU buffers; 1 WAL file(s) added, 0 removed, 0 recycled; write=119.261 s, sync=0.335 s, total=119.645 s; sync files=379, longest=0.007 s, average=0.001 s; distance=5482 kB, estimate=5482 kB; lsn=0/1D65D80, redo lsn=0/1D4BD20
2026-05-14 09:59:08.598 EDT [4336] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-14 10:03:25.620 EDT [47068] LOG:  checkpoint starting: time
2026-05-14 10:03:27.721 EDT [47068] LOG:  checkpoint complete: wrote 19 buffers (0.1%), wrote 3 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=2.078 s, sync=0.013 s, total=2.102 s; sync files=14, longest=0.002 s, average=0.001 s; distance=104 kB, estimate=4944 kB; lsn=0/1D66018, redo lsn=0/1D65FA8
2026-05-14 10:08:25.727 EDT [47068] LOG:  checkpoint starting: time
2026-05-14 10:08:27.282 EDT [47068] LOG:  checkpoint complete: wrote 14 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.532 s, sync=0.013 s, total=1.555 s; sync files=14, longest=0.002 s, average=0.001 s; distance=25 kB, estimate=4452 kB; lsn=0/1D6C580, redo lsn=0/1D6C528
2026-05-14 10:12:40.562 EDT [47460] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-14 10:13:06.432 EDT [47720] LOG:  could not receive data from client: An existing connection was forcibly closed by the remote host.
	
2026-05-14 10:13:25.283 EDT [47068] LOG:  checkpoint starting: time
